# This is a NO-USE pre-TEA atmosphere file.
# TEA accepts a file in this format to produce 
# abundances as a function of pressure and temperature.

1, 2, 3, 4, 5, 6, 7, 8, 9, 0

# FILLER STUFF HERE

#FINDSPEC
H_g C_g N_g O_g H2_ref CO_g CH4_g H2O_g N2_ref NH3_g

#FINDTEA
    Radius   Pressure    Temp          H          C          N          O 
 99000.000 1.0000e+00  100.00 9.9917414201e-01 2.6893119784e-04 6.7552459409e-05 4.8937433162e-04 
 98000.000 1.0000e+00  129.29 9.9917414201e-01 2.6893119784e-04 6.7552456132e-05 4.8937433162e-04 
 97000.000 1.0000e+00  158.59 9.9917414201e-01 2.6893119784e-04 6.7552452855e-05 4.8937433162e-04 
 96000.000 1.0000e+00  187.88 9.9917414201e-01 2.6893119784e-04 6.7552449578e-05 4.8937433162e-04 
 95000.000 1.0000e+00  217.17 9.9917414201e-01 2.6893119784e-04 6.7552446301e-05 4.8937433162e-04 
 94000.000 1.0000e+00  246.46 9.9917414201e-01 2.6893119784e-04 6.7552443024e-05 4.8937433162e-04 
 93000.000 1.0000e+00  275.76 9.9917414201e-01 2.6893119784e-04 6.7552439747e-05 4.8937433162e-04 
 92000.000 1.0000e+00  305.05 9.9917414201e-01 2.6893119784e-04 6.7552436470e-05 4.8937433162e-04 
 91000.000 1.0000e+00  334.34 9.9917414201e-01 2.6893119784e-04 6.7552433193e-05 4.8937433162e-04 
 90000.000 1.0000e+00  363.64 9.9917414201e-01 2.6893119784e-04 6.7552429916e-05 4.8937433162e-04 
 89000.000 1.0000e+00  392.93 9.9917414201e-01 2.6893119784e-04 6.7552426639e-05 4.8937433162e-04 
 88000.000 1.0000e+00  422.22 9.9917414201e-01 2.6893119784e-04 6.7552423362e-05 4.8937433162e-04 
 87000.000 1.0000e+00  451.52 9.9917414201e-01 2.6893119784e-04 6.7552420085e-05 4.8937433162e-04 
 86000.000 1.0000e+00  480.81 9.9917414201e-01 2.6893119784e-04 6.7552416808e-05 4.8937433162e-04 
 85000.000 1.0000e+00  510.10 9.9917414201e-01 2.6893119784e-04 6.7552413531e-05 4.8937433162e-04 
 84000.000 1.0000e+00  539.39 9.9917414201e-01 2.6893119784e-04 6.7552410254e-05 4.8937433162e-04 
 83000.000 1.0000e+00  568.69 9.9917414201e-01 2.6893119784e-04 6.7552406977e-05 4.8937433162e-04 
 82000.000 1.0000e+00  597.98 9.9917414201e-01 2.6893119784e-04 6.7552403700e-05 4.8937433162e-04 
 81000.000 1.0000e+00  627.27 9.9917414201e-01 2.6893119784e-04 6.7552400423e-05 4.8937433162e-04 
 80000.000 1.0000e+00  656.57 9.9917414201e-01 2.6893119784e-04 6.7552397146e-05 4.8937433162e-04 
 79000.000 1.0000e+00  685.86 9.9917414201e-01 2.6893119784e-04 6.7552393869e-05 4.8937433162e-04 
 78000.000 1.0000e+00  715.15 9.9917414201e-01 2.6893119784e-04 6.7552390592e-05 4.8937433162e-04 
 77000.000 1.0000e+00  744.44 9.9917414201e-01 2.6893119784e-04 6.7552387315e-05 4.8937433162e-04 
 76000.000 1.0000e+00  773.74 9.9917414201e-01 2.6893119784e-04 6.7552384038e-05 4.8937433162e-04 
 75000.000 1.0000e+00  803.03 9.9917414201e-01 2.6893119784e-04 6.7552380761e-05 4.8937433162e-04 
 74000.000 1.0000e+00  832.32 9.9917414201e-01 2.6893119784e-04 6.7552377484e-05 4.8937433162e-04 
 73000.000 1.0000e+00  861.62 9.9917414201e-01 2.6893119784e-04 6.7552374207e-05 4.8937433162e-04 
 72000.000 1.0000e+00  890.91 9.9917414201e-01 2.6893119784e-04 6.7552370930e-05 4.8937433162e-04 
 71000.000 1.0000e+00  920.20 9.9917414201e-01 2.6893119784e-04 6.7552367653e-05 4.8937433162e-04 
 70000.000 1.0000e+00  949.49 9.9917414201e-01 2.6893119784e-04 6.7552364376e-05 4.8937433162e-04 
 69000.000 1.0000e+00  978.79 9.9917414201e-01 2.6893119784e-04 6.7552361099e-05 4.8937433162e-04 
 68000.000 1.0000e+00 1008.08 9.9917414201e-01 2.6893119784e-04 6.7552357822e-05 4.8937433162e-04 
 67000.000 1.0000e+00 1037.37 9.9917414201e-01 2.6893119784e-04 6.7552354545e-05 4.8937433162e-04 
 66000.000 1.0000e+00 1066.67 9.9917414201e-01 2.6893119784e-04 6.7552351268e-05 4.8937433162e-04 
 65000.000 1.0000e+00 1095.96 9.9917414201e-01 2.6893119784e-04 6.7552347991e-05 4.8937433162e-04 
 64000.000 1.0000e+00 1125.25 9.9917414201e-01 2.6893119784e-04 6.7552344714e-05 4.8937433162e-04 
 63000.000 1.0000e+00 1154.55 9.9917414201e-01 2.6893119784e-04 6.7552341437e-05 4.8937433162e-04 
 62000.000 1.0000e+00 1183.84 9.9917414201e-01 2.6893119784e-04 6.7552338160e-05 4.8937433162e-04 
 61000.000 1.0000e+00 1213.13 9.9917414201e-01 2.6893119784e-04 6.7552334883e-05 4.8937433162e-04 
 60000.000 1.0000e+00 1242.42 9.9917414201e-01 2.6893119784e-04 6.7552331606e-05 4.8937433162e-04 
 59000.000 1.0000e+00 1271.72 9.9917414201e-01 2.6893119784e-04 6.7552328329e-05 4.8937433162e-04 
 58000.000 1.0000e+00 1301.01 9.9917414201e-01 2.6893119784e-04 6.7552325052e-05 4.8937433162e-04 
 57000.000 1.0000e+00 1330.30 9.9917414201e-01 2.6893119784e-04 6.7552321775e-05 4.8937433162e-04 
 56000.000 1.0000e+00 1359.60 9.9917414201e-01 2.6893119784e-04 6.7552318498e-05 4.8937433162e-04 
 55000.000 1.0000e+00 1388.89 9.9917414201e-01 2.6893119784e-04 6.7552315221e-05 4.8937433162e-04 
 54000.000 1.0000e+00 1418.18 9.9917414201e-01 2.6893119784e-04 6.7552311944e-05 4.8937433162e-04 
 53000.000 1.0000e+00 1447.47 9.9917414201e-01 2.6893119784e-04 6.7552308667e-05 4.8937433162e-04 
 52000.000 1.0000e+00 1476.77 9.9917414201e-01 2.6893119784e-04 6.7552305390e-05 4.8937433162e-04 
 51000.000 1.0000e+00 1506.06 9.9917414201e-01 2.6893119784e-04 6.7552302113e-05 4.8937433162e-04 
 50000.000 1.0000e+00 1535.35 9.9917414201e-01 2.6893119784e-04 6.7552298836e-05 4.8937433162e-04 
 49000.000 1.0000e+00 1564.65 9.9917414201e-01 2.6893119784e-04 6.7552295559e-05 4.8937433162e-04 
 48000.000 1.0000e+00 1593.94 9.9917414201e-01 2.6893119784e-04 6.7552292282e-05 4.8937433162e-04 
 47000.000 1.0000e+00 1623.23 9.9917414201e-01 2.6893119784e-04 6.7552289005e-05 4.8937433162e-04 
 46000.000 1.0000e+00 1652.53 9.9917414201e-01 2.6893119784e-04 6.7552285728e-05 4.8937433162e-04 
 45000.000 1.0000e+00 1681.82 9.9917414201e-01 2.6893119784e-04 6.7552282451e-05 4.8937433162e-04 
 44000.000 1.0000e+00 1711.11 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 43000.000 1.0000e+00 1740.40 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 42000.000 1.0000e+00 1769.70 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 41000.000 1.0000e+00 1798.99 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 40000.000 1.0000e+00 1828.28 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 39000.000 1.0000e+00 1857.58 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 38000.000 1.0000e+00 1886.87 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 37000.000 1.0000e+00 1916.16 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 36000.000 1.0000e+00 1945.45 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 35000.000 1.0000e+00 1974.75 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 34000.000 1.0000e+00 2004.04 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 33000.000 1.0000e+00 2033.33 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 32000.000 1.0000e+00 2062.63 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 31000.000 1.0000e+00 2091.92 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 30000.000 1.0000e+00 2121.21 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 29000.000 1.0000e+00 2150.51 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 28000.000 1.0000e+00 2179.80 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 27000.000 1.0000e+00 2209.09 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 26000.000 1.0000e+00 2238.38 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 25000.000 1.0000e+00 2267.68 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 24000.000 1.0000e+00 2296.97 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
 23000.000 1.0000e+00 2326.26 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
