# This is a NO-USE pre-TEA atmosphere file.
# TEA accepts a file in this format to produce 
# abundances as a function of pressure and temperature.

1, 2, 3, 4, 5, 6, 7, 8, 9, 0

# FILLER STUFF HERE

#FINDSPEC
H_g C_g N_g O_g H2_ref CO_g CH4_g H2O_g N2_ref NH3_g

#FINDTEA
    Radius   Pressure    Temp          H          C          N          O 
 29000.000 1.0000e+00  100.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 28000.000 1.0000e+00  200.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 27000.000 1.0000e+00  300.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 26000.000 1.0000e+00  400.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 25000.000 1.0000e+00  500.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 24000.000 1.0000e+00  600.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 23000.000 1.0000e+00  700.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 22000.000 1.0000e+00  800.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 21000.000 1.0000e+00  900.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 20000.000 1.0000e+00 1000.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 19000.000 1.0000e+00 1100.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 18000.000 1.0000e+00 1200.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 17000.000 1.0000e+00 1300.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 16000.000 1.0000e+00 1400.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 15000.000 1.0000e+00 1500.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 14000.000 1.0000e+00 1600.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 13000.000 1.0000e+00 1700.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 12000.000 1.0000e+00 1800.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 11000.000 1.0000e+00 1900.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 10000.000 1.0000e+00 2000.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
  9000.000 1.0000e+00 2100.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
  8000.000 1.0000e+00 2200.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
  7000.000 1.0000e+00 2300.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
  6000.000 1.0000e+00 2400.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
  5000.000 1.0000e+00 2500.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
  4000.000 1.0000e+00 2600.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
  3000.000 1.0000e+00 2700.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
  2000.000 1.0000e+00 2800.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
  1000.000 1.0000e+00 2900.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
     0.000 1.0000e+00 3000.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
