# This is a NO-USE pre-TEA atmosphere file.
# TEA accepts a file in this format to produce 
# abundances as a function of pressure and temperature.

1, 2, 3, 4, 5, 6, 7, 8, 9, 0

# FILLER STUFF HERE

#FINDSPEC
H_g C_g N_g O_g H2_ref CO_g CH4_g H2O_g N2_ref NH3_g

#FINDTEA
    Radius   Pressure    Temp          H          C          N          O 
279000.000 1.0000e+00  300.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
259000.000 1.0000e+00  500.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
234000.000 1.0000e+00  750.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
209000.000 1.0000e+00 1000.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04
189000.000 1.0000e+00 1200.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
169000.000 1.0000e+00 1400.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
149000.000 1.0000e+00 1600.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
129000.000 1.0000e+00 1800.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04  
109000.000 1.0000e+00 2000.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 89000.000 1.0000e+00 2200.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04
 69000.000 1.0000e+00 2400.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 49000.000 1.0000e+00 2600.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
 29000.000 1.0000e+00 2800.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
  9000.000 1.0000e+00 3000.00 9.9917e-01 2.6893e-04 6.7552e-05 4.8937e-04 
