# This is a NO-USE pre-TEA atmosphere file.
# TEA accepts a file in this format to produce 
# abundances as a function of pressure and temperature.

1, 2, 3, 4, 5, 6, 7, 8, 9, 0

# FILLER STUFF HERE

#FINDSPEC
H_g H2_ref H2O_l-g N_g NH_g NO_g N2_ref O_g OH_g O2_ref

#FINDTEA
    Radius   Pressure    Temp        H_g     H2_ref    H2O_l-g        N_g       NH_g       NO_g     N2_ref        O_g       OH_g     O2_ref 
 99000.000 1.0000e-05 1500.00 2.9626e-03 9.9599e-01 9.7498e-04 9.1399e-14 7.0888e-15 2.4489e-10 6.7402e-05 7.3865e-09 2.8969e-06 8.6984e-11 
 98000.000 1.1768e-05 1500.00 3.2134e-03 9.9574e-01 9.7438e-04 9.9024e-14 7.0790e-15 2.6522e-10 6.7233e-05 8.6891e-09 3.1410e-06 1.0229e-10 
 97000.000 1.3849e-05 1500.00 2.9626e-03 9.9599e-01 9.7498e-04 9.1399e-14 7.0888e-15 2.4489e-10 6.7402e-05 7.3865e-09 2.8969e-06 8.6984e-11 
 96000.000 1.6298e-05 1500.00 2.7312e-03 9.9622e-01 9.7533e-04 8.4259e-14 7.0901e-15 2.2579e-10 6.7412e-05 6.2774e-09 2.6711e-06 7.3933e-11 
 95000.000 1.9179e-05 1500.00 2.5180e-03 9.9644e-01 9.7565e-04 7.7682e-14 7.0919e-15 2.0819e-10 6.7431e-05 5.3347e-09 2.4628e-06 6.2838e-11 
 94000.000 2.2570e-05 1500.00 2.3214e-03 9.9663e-01 9.7575e-04 7.1543e-14 7.0860e-15 1.9172e-10 6.7305e-05 4.5329e-09 2.2703e-06 5.3388e-11 
 93000.000 2.6561e-05 1500.00 2.1401e-03 9.9681e-01 9.7623e-04 6.6021e-14 7.0943e-15 1.7698e-10 6.7451e-05 3.8531e-09 2.0936e-06 4.5395e-11 
 92000.000 3.1257e-05 1500.00 1.9729e-03 9.9698e-01 9.7647e-04 6.0863e-14 7.0953e-15 1.6316e-10 6.7459e-05 3.2744e-09 1.9303e-06 3.8580e-11 
 91000.000 3.6784e-05 1500.00 1.8188e-03 9.9714e-01 9.7672e-04 5.6110e-14 7.0964e-15 1.5043e-10 6.7470e-05 2.7827e-09 1.7797e-06 3.2790e-11 
 90000.000 4.3288e-05 1500.00 1.6768e-03 9.9728e-01 9.7695e-04 5.1732e-14 7.0982e-15 1.3871e-10 6.7494e-05 2.3648e-09 1.6408e-06 2.7869e-11 
 89000.000 5.0941e-05 1500.00 1.5458e-03 9.9741e-01 9.7704e-04 4.7663e-14 7.0950e-15 1.2779e-10 6.7426e-05 2.0094e-09 1.5126e-06 2.3679e-11 
 88000.000 5.9948e-05 1500.00 1.4250e-03 9.9753e-01 9.7715e-04 4.3926e-14 7.0936e-15 1.1777e-10 6.7390e-05 1.7075e-09 1.3944e-06 2.0122e-11 
 87000.000 7.0548e-05 1500.00 1.3137e-03 9.9764e-01 9.7749e-04 4.0527e-14 7.1002e-15 1.0868e-10 6.7507e-05 1.4513e-09 1.2858e-06 1.7107e-11 
 86000.000 8.3022e-05 1500.00 1.2110e-03 9.9774e-01 9.7765e-04 3.7360e-14 7.1009e-15 1.0020e-10 6.7514e-05 1.2333e-09 1.1854e-06 1.4538e-11 
 85000.000 9.7701e-05 1500.00 1.1164e-03 9.9784e-01 9.7779e-04 3.4441e-14 7.1016e-15 9.2374e-11 6.7520e-05 1.0481e-09 1.0928e-06 1.2355e-11 
 84000.000 1.1498e-04 1500.00 1.0292e-03 9.9792e-01 9.7792e-04 3.1750e-14 7.1022e-15 8.5160e-11 6.7526e-05 8.9065e-10 1.0075e-06 1.0500e-11 
 83000.000 1.3530e-04 1500.00 9.4874e-04 9.9800e-01 9.7804e-04 2.9270e-14 7.1030e-15 7.8511e-11 6.7537e-05 7.5685e-10 9.2876e-07 8.9226e-12 
 82000.000 1.5923e-04 1500.00 8.7463e-04 9.9808e-01 9.7808e-04 2.6973e-14 7.1010e-15 7.2350e-11 6.7493e-05 6.4316e-10 8.5618e-07 7.5821e-12 
