# This is a NO-USE pre-TEA atmosphere file.
# TEA accepts a file in this format to produce 
# abundances as a function of pressure and temperature.

1, 2, 3, 4, 5, 6, 7, 8, 9, 0

# FILLER STUFF HERE

#FINDSPEC
H_g C_g N_g O_g H2_ref CO_g CH4_g H2O_g N2_ref NH3_g

#FINDTEA
    Radius   Pressure    Temp        H_g        C_g        N_g        O_g     H2_ref       CO_g      CH4_g      H2O_g     N2_ref      NH3_g 
 29000.000 1.0000e+00  100.00 3.4653e-01 4.2206e-53 4.5568e-27 1.9991e-17 6.5210e-01 2.2998e-33 4.4530e-04 8.1031e-04 3.3657e-31 1.1186e-04 
 28000.000 1.0000e+00  200.00 2.9002e-01 6.4742e-48 3.8543e-26 2.7893e-17 7.0857e-01 1.0340e-30 4.6051e-04 8.3799e-04 3.9609e-29 1.1568e-04 
 27000.000 1.0000e+00  300.00 9.1059e-01 2.0813e-24 3.2973e-18 5.2440e-12 8.8506e-02 1.8583e-19 2.9338e-04 5.3387e-04 3.6814e-20 7.3697e-05 
 26000.000 1.0000e+00  400.00 1.9298e-01 1.3630e-40 1.2873e-24 7.5205e-17 8.0552e-01 1.8920e-26 4.8665e-04 8.8556e-04 1.0614e-25 1.2224e-04 
 25000.000 1.0000e+00  500.00 6.7856e-01 4.1324e-30 1.1446e-20 1.1833e-13 3.2035e-01 1.8710e-21 3.5587e-04 6.4758e-04 1.3138e-21 8.9394e-05 
 24000.000 1.0000e+00  600.00 6.4435e-01 6.3847e-31 5.1783e-21 1.0529e-13 3.5453e-01 9.8790e-22 3.6509e-04 6.6435e-04 1.5552e-21 9.1709e-05 
 23000.000 1.0000e+00  700.00 5.1671e-03 1.0572e-38 4.6511e-24 2.5666e-19 9.9318e-01 2.8700e-22 5.3723e-04 9.7760e-04 2.9594e-21 1.3495e-04 
 22000.000 1.0000e+00  800.00 6.6833e-02 8.2349e-32 5.5539e-21 3.5960e-16 9.3157e-01 4.7854e-20 5.2062e-04 9.4738e-04 1.2030e-19 1.3078e-04 
 21000.000 1.0000e+00  900.00 1.4259e-01 2.4063e-29 5.9188e-20 5.5692e-15 8.5587e-01 9.1176e-19 5.0021e-04 9.1024e-04 1.6009e-18 1.2565e-04 
 20000.000 1.0000e+00 1000.00 1.1005e-02 1.4839e-29 7.5465e-20 1.1612e-16 9.8735e-01 4.5731e-18 5.3565e-04 9.7473e-04 2.6796e-17 1.3455e-04 
 19000.000 1.0000e+00 1100.00 1.5280e-08 2.6834e-29 4.8093e-21 1.0242e-21 9.9835e-01 8.8875e-08 5.3805e-04 9.7995e-04 3.6102e-06 1.2808e-04 
 18000.000 1.0000e+00 1200.00 1.1545e-07 4.8621e-26 6.8556e-19 1.0022e-19 9.9835e-01 3.4135e-08 5.3846e-04 9.8007e-04 3.8517e-07 1.3453e-04 
 17000.000 1.0000e+00 1300.00 6.4281e-07 2.8365e-23 4.3130e-17 4.9076e-18 9.9835e-01 3.4590e-07 5.3704e-04 9.7958e-04 2.4719e-06 1.3035e-04 
 16000.000 1.0000e+00 1400.00 2.8158e-06 6.6760e-21 3.7068e-16 1.3668e-16 9.9841e-01 1.0011e-05 5.2802e-04 9.6990e-04 5.2198e-05 3.0886e-05 
 15000.000 1.0000e+00 1500.00 1.0178e-05 1.3505e-19 3.4415e-16 1.3895e-15 9.9885e-01 4.4674e-04 9.0990e-05 5.3233e-04 6.6948e-05 1.2631e-06 
 14000.000 1.0000e+00 1600.00 3.1447e-05 7.5165e-19 3.4595e-15 1.5066e-14 9.9891e-01 5.2971e-04 7.8417e-06 4.4916e-04 6.7158e-05 8.1846e-07 
